pair,idx,manual_rouleaux,coverage_fraction,rouleaux_fraction,n_cells,n_inline,n_merged
0,205,heavy rouleaux,0.5552156887755102,0.1192429022082019,4755,567,762
0,61,no rouleaux,0.5553386479591836,0.10490307867730901,3508,368,674
1,206,heavy rouleaux,0.619872193877551,0.11747430249632893,4086,480,704
1,242,no rouleaux,0.6193114795918367,0.12736699729486023,4436,565,677
2,210,heavy rouleaux,0.6630862244897959,0.1305393335623497,2911,380,560
2,236,no rouleaux,0.6644053571428571,0.13918339724791337,4433,617,553
3,215,heavy rouleaux,0.7503229591836734,0.11826347305389222,2004,237,352
3,248,no rouleaux,0.7236566326530612,0.08782435129740519,3006,264,402
