sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
KTR-72502946,198,Tanzania,0.0679,0.5147,15.1452,gs://tanzania_02032026/TZ2025-Box5/KTR-72502946/fluorescent-198-KTR-72502946.png,1.0,12.8702,0.6282,0.5414,0.8666,False,175.37,1.2847,0.0,,194.9212,True,True,True,True,0.9906,yes,"Dense, Some Rouleaux, Overexposed",0.0469,0.0033,0.0423
NKR-72502319,119,Tanzania,0.0,0.7698,15.5373,gs://tanzania_02032026/TZ2025-Box4/NKR-72502319/fluorescent-119-NKR-72502319.png,0.0,1.2999,0.0,0.0,0.0,False,0.0,1.0215,0.0,background,20.1968,False,False,False,False,0.9048,no,Overexposed,0.0,0.001,0.0365
NKR-72502319,293,Tanzania,0.1408,0.3061,27.2147,gs://tanzania_02032026/TZ2025-Box4/NKR-72502319/fluorescent-293-NKR-72502319.png,0.5362,4.1911,0.5652,0.802,0.7772,False,115.44,1.1657,0.0,,114.0583,True,True,True,True,0.9971,yes,Overexposed,0.0166,0.0023,0.0351
NKR-72502319,311,Tanzania,0.199,0.2754,24.2614,gs://tanzania_02032026/TZ2025-Box4/NKR-72502319/fluorescent-311-NKR-72502319.png,0.7018,4.837,0.5585,0.1765,0.7399,False,110.7,1.207,0.0,,117.3516,True,True,True,True,0.9969,yes,Overexposed,0.0131,0.0022,0.0363
RUB-62501332,133,Tanzania,0.1388,0.4129,38.3981,gs://tanzania_02032026/TZ2025-Box2/RUB-62501332/fluorescent-133-RUB-62501332.png,0.2906,3.2334,0.3641,0.2897,0.8479,False,136.38,1.3503,0.0,,124.157,True,True,True,True,0.9883,yes,Overexposed,0.0203,0.0024,0.0425
RUB-62501389,284,Tanzania,0.2398,0.4199,37.2019,gs://tanzania_02032026/TZ2025-Box2/RUB-62501389/fluorescent-284-RUB-62501389.png,1.0,6.8494,0.3875,0.6842,0.7765,False,162.07,1.022,0.0,double,254.809,True,True,True,True,0.9973,yes,Overexposed,0.0266,0.0023,0.0364
RUB-62501518,315,Tanzania,0.0,0.6886,84.9763,gs://tanzania_02032026/TZ2025-Box3/RUB-62501518/fluorescent-315-RUB-62501518.png,0.0,1.2234,0.0,0.0,0.0,False,0.0,1.3214,0.0,background,103.9629,False,False,False,False,0.9912,no,Overexposed,0.0,0.001,0.041
RUB-62501529,87,Tanzania,0.0,0.7667,56.6479,gs://tanzania_02032026/TZ2025-Box3/RUB-62501529/fluorescent-087-RUB-62501529.png,0.0,1.3276,0.0,0.0,0.0,False,0.0,1.0089,0.0,background,75.2032,False,False,False,False,0.9587,no,Overexposed,0.0,0.001,0.0401
RUB-72501756,315,Tanzania,0.1788,0.2894,21.7308,gs://tanzania_02032026/TZ2025-Box3/RUB-72501756/fluorescent-315-RUB-72501756.png,0.5459,4.2291,0.4562,0.8217,0.7638,False,105.47,1.1637,0.0,,91.9011,True,True,True,True,0.9971,yes,Overexposed,0.024,0.0024,0.0469
PAT-070-3,34,Uganda,0.0131,0.4662,36.3384,gs://malaria-annotation-web/samples/PAT-070-3/data/fluorescent-034-PAT-070-3.png,0.8676,5.4838,0.3608,0.5064,0.8485,False,169.75,1.191,0.0,double,199.2729,True,True,True,True,0.9949,yes,Overexposed,0.0424,0.003,0.0488
PAT-072-1,14,Uganda,0.1956,0.0747,24.0213,gs://malaria-annotation-web/samples/PAT-072-1/data/fluorescent-014-PAT-072-1.png,0.27,3.153,0.2727,0.0909,0.8383,False,33.97,1.0437,0.0,artifact,75.7392,True,True,True,True,0.9917,no,"Overexposed, Artifact",0.0068,0.0021,0.0393
PAT-072-1,94,Uganda,0.2648,0.3811,14.534,gs://malaria-annotation-web/samples/PAT-072-1/data/fluorescent-094-PAT-072-1.png,0.9769,5.91,0.2805,0.8302,0.4442,False,58.54,1.0505,0.0,artifact,85.8964,True,True,True,True,0.7854,no,"Sparser, Some Rouleaux, Overexposed, Artifact",0.0497,0.0024,0.0451
PAT-154-1,478,Uganda,0.0,0.5911,176.3831,gs://malaria-annotation-web/samples/PAT-154-1/data/fluorescent-478-PAT-154-1.png,0.0,1.2181,0.0,0.0,0.0,False,0.0,1.3411,0.0,background,214.8448,False,False,False,False,0.8913,no,Overexposed,0.0,0.0009,0.0335
PBC-225_AM-1,30,Uganda,0.0,0.7279,57.9345,gs://malaria-annotation-web/samples/PBC-225_AM-1/data/fluorescent-030-PBC-225_AM-1.png,0.0,1.4447,0.0,0.0,0.0,False,0.0,1.2138,0.0,background,83.697,False,False,False,False,0.9718,no,"Sparser, Overexposed",0.0,0.001,0.037
PBC-608-KH-1,171,Uganda,0.0583,0.4171,28.3698,gs://malaria-annotation-web/samples/PBC-608-KH-1/data/fluorescent-171-PBC-608-KH-1.png,0.5988,4.4355,0.2609,0.5649,0.8196,False,139.15,1.167,0.0,,125.8345,True,True,True,True,0.9897,yes,Overexposed,0.0316,0.0029,0.0356
PBC-800-1,128,Uganda,0.0,0.5819,72.1874,gs://malaria-annotation-web/samples/PBC-800-1/data/fluorescent-128-PBC-800-1.png,0.0,1.6097,0.3696,0.4816,0.6416,False,52.08,1.2821,2.3308,background,116.1965,False,False,False,False,0.9455,no,"Sparser, Deep Dimples, Overexposed, Medium",0.0,0.0018,0.0342
PBC-800-1,732,Uganda,0.0,0.4161,58.7932,gs://malaria-annotation-web/samples/PBC-800-1/data/fluorescent-732-PBC-800-1.png,0.0082,2.1318,0.4779,0.2317,0.523,True,93.98,1.1419,2.545,background,125.3365,False,True,False,True,0.9554,no,"Deep Dimples, Overexposed",0.0,0.002,0.0416
PAT-103-2,441,Uganda,0.0,0.8012,74.4638,gs://malaria-annotation-web/samples/PAT-103-2/data/fluorescent-441-PAT-103-2.png,0.0,1.4022,0.0,0.0,0.0,False,0.0,1.2169,0.0,background,104.4127,False,False,False,False,0.8684,no,Overexposed,0.0,0.001,0.0331
PAT-112-2,124,Uganda,0.0,0.612,18.0793,gs://malaria-annotation-web/samples/PAT-112-2/data/fluorescent-124-PAT-112-2.png,0.0,1.5226,0.0,0.0,0.0,False,0.0,1.1394,0.0,background,27.5278,False,False,False,False,0.9042,no,Overexposed,0.0,0.0009,0.0406
