sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
LB-D3-2025-09-02-141940-25087110-D-Only-1-2,42,Liberia,0.1162,0.2571,44.1279,gs://liberia-2025/rawData4SS/LB25-D3/2025-09-02/2025-09-02-141940-25087110-D-Only-1+.2_Blue/Images/IMG003x006.bmp,0.6302,4.5579,0.3002,0.239,0.6682,False,126.03,3.9464,0.0,background,201.131,True,True,True,True,0.9977,yes,Overexposed,0.0161,0.0023,0.049
LB-D3-2025-09-09-093425-250917463-D-Only-1-1,166,Liberia,0.2861,0.3219,25.971,gs://liberia-2025/rawData4SS/LB25-D3/2025-09-09/2025-09-09-093425-250917463-D-Only-1+.1_Blue/Images/IMG010x004.bmp,0.6061,4.4639,0.8029,0.483,0.7577,False,118.97,2.2452,0.0,,115.9311,True,True,True,True,0.9967,yes,"Crenated, Overexposed",0.0178,0.0022,0.0497
LB-D3-2025-09-27-121918-17217958-D-thin-4-4,262,Liberia,0.1525,0.5547,44.8636,gs://liberia-2025/rawData4SS/LB25-D3/2025-09-27/2025-09-27-121918-17217958-(D-thin)-4+.4_Blue/Images/IMG015x010.bmp,0.899,5.606,0.4409,0.3447,0.7613,False,181.22,1.748,0.0,,251.5057,True,True,True,True,0.9979,yes,Overexposed,0.0256,0.0028,0.0485
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,4,Liberia,0.1444,0.4258,42.692,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-104211-250917371-(D-thin)-2+.3_Blue/Images/IMG001x004.bmp,0.9634,5.8572,0.3309,0.3592,0.7378,False,160.47,1.8197,0.0,,250.0559,True,True,True,True,0.9973,yes,"Overexposed, Unfocused",0.0224,0.0024,0.0484
LB-D3-2025-10-03-104643-250917465-D-thin-3-4,185,Liberia,0.3086,0.3549,14.6895,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-104643-250917465-(D-thin)-3+.4_Blue/Images/IMG011x005.bmp,0.3515,3.471,0.0,0.0,0.0,False,0.0,1.6108,0.0,green,50.9878,True,True,True,True,0.9648,yes,Overexposed,0.014,0.0013,0.0516
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,1,Liberia,0.0,0.6129,52.1212,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG001x001.bmp,0.0,1.9237,0.2693,0.0843,0.5563,True,67.84,1.5482,0.0,background,100.2668,False,True,False,True,0.9162,no,"Crenated, Overexposed",0.0,0.0019,0.053
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,16,Liberia,0.0,0.3644,47.327,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG001x016.bmp,0.0,1.8434,0.3535,0.016,0.4793,False,14.54,1.7044,0.0,background,87.2429,False,False,False,False,0.9767,no,"Crenated, Overexposed",0.0,0.0018,0.0499
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,17,Liberia,0.0,0.5581,45.581,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG001x017.bmp,0.0,1.8808,0.2557,0.015,0.3662,False,16.42,1.537,0.0,background,85.7285,False,False,False,False,0.8811,no,"Crenated, Overexposed",0.0,0.0017,0.0468
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,18,Liberia,0.0,0.4306,50.1513,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG001x018.bmp,0.0,1.8856,0.1568,0.0354,0.3337,False,35.04,1.4336,0.0,background,94.5655,False,False,False,False,0.9024,no,"Crenated, Overexposed",0.0,0.0019,0.0889
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,19,Liberia,0.0,0.5529,48.9306,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG002x001.bmp,0.0271,2.2055,0.3154,0.1366,0.5483,True,98.0,1.3621,2.6905,background,107.9188,False,True,False,True,0.9704,no,"Crenated, Overexposed",0.0,0.0019,0.0574
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,53,Liberia,0.0,0.5374,57.3524,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG003x017.bmp,0.0,2.0455,0.2448,0.1197,0.6418,True,78.32,1.5994,3.1115,background,117.3122,False,True,False,True,0.9552,no,"Crenated, Overexposed",0.0,0.0017,0.0543
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,114,Liberia,0.0724,0.512,51.5422,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG007x006.bmp,0.4312,3.7815,0.4962,0.6426,0.8464,False,168.35,1.603,0.0,,194.9085,True,True,True,True,0.9929,yes,Overexposed,0.0497,0.0031,0.0694
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,125,Liberia,0.3149,0.0633,18.276,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-03/2025-10-03-124025-2404175445(D-thin)-2+.3_Blue/Images/IMG007x017.bmp,1.0,13.2307,0.9103,0.2573,0.6189,False,66.58,1.7148,0.0,,241.8039,True,True,True,True,0.9938,yes,"Crenated, Overexposed",0.0064,0.0016,0.0584
