idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
136,sparse,slight rouleaux,normal,0.21082895408163266,0.12877263581488935,0.004728132387706856,1988,423
137,sparse,slight rouleaux,normal,0.2508989795918367,0.12043010752688173,0.00199203187250996,2325,502
138,sparse,some rouleaux,normal,0.27813099489795917,0.1298811544991511,0.004405286343612335,2356,454
139,sparse,slight rouleaux,normal,0.30759323979591835,0.12195994277539342,0.020338983050847456,2796,590
140,sparse,some rouleaux,normal,0.31987920918367346,0.13211314475873545,0.0018832391713747645,3005,531
141,sparse,some rouleaux,normal,0.27449145408163267,0.1343700159489633,0.01171875,2508,512
142,sparse,some rouleaux,normal,0.33531122448979594,0.13560666137985725,0.008676789587852495,2522,461
143,sparse,rouleaux,normal,0.3814011479591837,0.1417142857142857,0.006607929515418502,2625,454
144,sparse,rouleaux,normal,0.3990005102040816,0.1455449059282925,0.0,2817,466
145,monolayer,heavy rouleaux,flagged,0.46439744897959184,0.15959444235824258,0.056847545219638244,2663,387
146,monolayer,heavy rouleaux,normal,0.4523170918367347,0.1576283441793203,0.03903903903903904,2766,333
147,monolayer,heavy rouleaux,normal,0.4366487244897959,0.16869051526091236,0.02763819095477387,3047,398
148,sparse,heavy rouleaux,normal,0.40056798469387755,0.16336317135549872,0.014742014742014743,3128,407
149,sparse,rouleaux,normal,0.3733809948979592,0.14480975249353528,0.009433962264150943,2707,424
150,sparse,heavy rouleaux,normal,0.39811020408163267,0.16341243616701712,0.0022624434389140274,3329,442
151,sparse,heavy rouleaux,normal,0.4126012755102041,0.16296296296296298,0.014423076923076924,3105,416
152,sparse,heavy rouleaux,normal,0.38663852040816327,0.15024875621890546,0.03456221198156682,3015,434
153,sparse,rouleaux,normal,0.3412094387755102,0.14485344239945466,0.02027027027027027,2934,444
154,sparse,rouleaux,normal,0.29048966836734696,0.14017571884984026,0.006263048016701462,2504,479
155,sparse,rouleaux,normal,0.32925140306122447,0.1405071967100754,0.013257575757575758,2918,528
156,sparse,no rouleaux,normal,0.3543354591836735,0.11737089201877934,0.0102880658436214,2556,486
157,sparse,no rouleaux,normal,0.2978637755102041,0.11411992263056092,0.0,2585,562
158,sparse,no rouleaux,normal,0.23736607142857144,0.10459183673469388,0.003898635477582846,2352,513
159,sparse,slight rouleaux,normal,0.2711113520408163,0.12954186413902052,0.0037593984962406013,2532,532
160,sparse,slight rouleaux,normal,0.25931301020408165,0.11923758865248227,0.0021645021645021645,2256,462
161,sparse,some rouleaux,normal,0.28259438775510204,0.13041810510164942,0.004219409282700422,2607,474
162,sparse,no rouleaux,normal,0.2128688775510204,0.10922787193973635,0.0,2124,435
163,dense,heavy rouleaux,normal,0.6050255102040817,0.15629274965800274,0.018957345971563982,2924,422
164,dense,heavy rouleaux,normal,0.5919002551020408,0.1571658615136876,0.030456852791878174,3105,394
